Ticker,Score,Months,Value,Values
ORCL,1.0979,71,1.67111,0.9932|1.00182|1.00948|1.01811|1.02475|1.03475|1.04443|1.05884|1.07503|1.09061|1.10842|1.12474|1.14215|1.15752|1.17435|1.1907|1.20727|1.22443|1.24306|1.26053|1.28008|1.30168|1.32586|1.35157|1.37615|1.40187|1.42701|1.45414|1.48368|1.51477|1.54399|1.57154|1.59777|1.62323|1.64607|1.67111
ADBE,1.2187999999999999,71,2.50906,1.0031|1.03643|1.06602|1.09443|1.12271|1.14835|1.17951|1.21693|1.25123|1.28755|1.32971|1.37235|1.41564|1.45315|1.48667|1.52714|1.57016|1.61529|1.66267|1.70983|1.75396|1.79716|1.84222|1.88844|1.94202|1.99594|2.04405|2.09593|2.15636|2.20948|2.26658|2.3166|2.36783|2.41937|2.4701|2.50906
IBM,1.0503,71,1.35683,0.99409|0.9988|1.00277|1.00793|1.01087|1.01645|1.02336|1.02982|1.03562|1.04115|1.04807|1.05451|1.06192|1.06972|1.07885|1.08874|1.09955|1.11016|1.1207|1.12986|1.13854|1.14884|1.16112|1.17435|1.18623|1.19869|1.2111|1.22655|1.24179|1.25681|1.27259|1.28799|1.30509|1.32199|1.33979|1.35683
DWDP,1.0547,65,1.368,0.99353|1.00787|1.02285|1.03989|1.05596|1.06829|1.07975|1.09018|1.10247|1.11768|1.1338|1.14658|1.157|1.16263|1.16554|1.16941|1.18035|1.19601|1.20714|1.21566|1.22618|1.23632|1.24913|1.2646|1.27718|1.29045|1.30536|1.32195|1.33596|1.34978|1.35996|1.36625|1.368|1.36409|1.35785|1.35397
CRM,1.4445999999999999,71,4.49421,1.01228|1.07003|1.12305|1.18209|1.24628|1.31394|1.37512|1.4384|1.50876|1.5698|1.62963|1.69083|1.76182|1.81714|1.87215|1.93719|2.00798|2.07821|2.15687|2.24638|2.32596|2.39333|2.47839|2.56935|2.65511|2.7469|2.88213|3.04247|3.20917|3.37892|3.56251|3.74478|3.91455|4.10932|4.31202|4.49421
MDT,1.0506,71,1.32687,0.99585|1.00398|1.01204|1.0203|1.02719|1.03311|1.03855|1.04521|1.05347|1.06183|1.0722|1.0834|1.09253|1.10116|1.11018|1.12217|1.13568|1.14843|1.16034|1.17215|1.18338|1.19346|1.20469|1.21703|1.22952|1.24287|1.25441|1.26458|1.27382|1.28159|1.2893|1.29685|1.30616|1.31505|1.32228|1.32687
MMM,1.0892,71,1.62294,0.9994|1.01546|1.03169|1.04948|1.06662|1.08343|1.09995|1.11716|1.13476|1.15206|1.17073|1.18798|1.20517|1.22051|1.23465|1.25016|1.26771|1.28462|1.30276|1.3202|1.33947|1.35704|1.37567|1.39502|1.41515|1.43636|1.45565|1.47432|1.49387|1.51289|1.53092|1.54866|1.56798|1.58687|1.60629|1.62294
UNP,1.2005,71,2.48458,1.00375|1.03241|1.06147|1.09158|1.12185|1.15148|1.1805|1.21022|1.23999|1.27016|1.30262|1.33475|1.3648|1.39527|1.42644|1.45952|1.49429|1.52897|1.56306|1.59679|1.63233|1.67114|1.71395|1.76036|1.81035|1.86444|1.92009|1.97621|2.03478|2.09621|2.16058|2.22512|2.28919|2.354|2.41954|2.48458
ABBV,1.1737,71,2.18518,1.00307|1.02946|1.05451|1.08425|1.1173|1.14958|1.18276|1.21838|1.25111|1.27986|1.306|1.32499|1.33575|1.35275|1.36419|1.37114|1.38999|1.4159|1.44055|1.47316|1.50759|1.54534|1.59746|1.66249|1.72852|1.81001|1.90545|1.9909|2.06882|2.11908|2.1355|2.10833|2.1249|2.1265|2.10568|2.18518
AMGN,1.104,71,1.70703,0.99486|1.00881|1.02267|1.0358|1.04857|1.0618|1.0758|1.09009|1.10541|1.12141|1.1372|1.15295|1.17077|1.18809|1.20727|1.22988|1.25203|1.27498|1.29864|1.32143|1.34324|1.36408|1.38703|1.41112|1.4374|1.46409|1.49116|1.51589|1.54034|1.56275|1.58575|1.61143|1.638|1.66308|1.68476|1.70703
HON,1.1161,71,1.79299,0.99754|1.01321|1.02812|1.04616|1.06451|1.08018|1.09612|1.11497|1.13471|1.15401|1.17475|1.19497|1.21402|1.23202|1.25034|1.26929|1.29055|1.3145|1.339|1.36393|1.3901|1.41512|1.44223|1.47153|1.50119|1.53254|1.56302|1.59146|1.61832|1.64418|1.66999|1.69523|1.72113|1.74531|1.76912|1.79299
LLY,1.034,71,1.22371,0.99558|1.00432|1.0108|1.01462|1.01991|1.02199|1.02388|1.02756|1.03145|1.03607|1.04038|1.04418|1.04851|1.05172|1.05617|1.06503|1.07374|1.08081|1.08757|1.09746|1.10793|1.11836|1.13029|1.14005|1.14843|1.15692|1.16406|1.17123|1.17959|1.18864|1.19698|1.20296|1.20638|1.21043|1.21585|1.22371
