Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"HOPE","HOPE BANCORP INC","Equity","0.21","13.10","7,007,642.00","91,800,110.20","91,800,110.20","Financials","BYN87K7","US43940T1097","NASDAQ"
"SAIA","SAIA INC","Equity","0.21","60.90","1,503,252.00","91,548,046.80","91,548,046.80","Industrials","2982399","US78709Y1055","NASDAQ"
"NBTB","NBT BANCORP INC","Equity","0.21","36.00","2,537,250.00","91,341,000.00","91,341,000.00","Financials","2626459","US6287781024","NASDAQ"
"MATX","MATSON INC","Equity","0.21","36.23","2,513,514.00","91,064,612.22","91,064,612.22","Industrials","B8GNC91","US57686G1058","New York Stock Exchange Inc."
"MTH","MERITAGE CORP","Equity","0.21","43.25","2,103,791.00","90,988,960.75","90,988,960.75","Consumer Discretionary","2601326","US59001A1025","New York Stock Exchange Inc."
"DIN","DINE BRANDS GLOBAL INC","Equity","0.21","88.15","1,029,389.00","90,740,640.35","90,740,640.35","Consumer Discretionary","2456957","US2544231069","New York Stock Exchange Inc."
"SPXC","SPX CORP","Equity","0.21","35.51","2,554,254.00","90,701,559.54","90,701,559.54","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"MINI","MOBILE MINI INC","Equity","0.21","34.67","2,606,979.00","90,383,961.93","90,383,961.93","Industrials","2548177","US60740F1057","NASDAQ"
"FSS","FEDERAL SIGNAL CORP","Equity","0.21","25.58","3,530,068.00","90,299,139.44","90,299,139.44","Industrials","2333986","US3138551086","New York Stock Exchange Inc."
"WAGE","WAGEWORKS INC","Equity","0.21","39.00","2,315,106.00","90,289,134.00","90,289,134.00","Industrials","B6WG4R2","US9304271094","New York Stock Exchange Inc."
"KN","KNOWLES CORP","Equity","0.21","17.10","5,264,444.00","90,021,992.40","90,021,992.40","Information Technology","BJTD9L6","US49926D1090","New York Stock Exchange Inc."
"DIOD","DIODES INC","Equity","0.21","37.73","2,385,178.00","89,992,765.94","89,992,765.94","Information Technology","2270500","US2545431015","NASDAQ"
"MEDP","MEDPACE HOLDINGS INC","Equity","0.21","58.81","1,529,738.00","89,963,891.78","89,963,891.78","Health Care","BDCBC61","US58506Q1094","NASDAQ"
"RWT","REDWOOD TRUST REIT INC","Equity","0.21","15.83","5,670,114.00","89,757,904.62","89,757,904.62","Financials","2730877","US7580754023","New York Stock Exchange Inc."
"MGLN","MAGELLAN HEALTH INC","Equity","0.21","66.15","1,353,461.00","89,531,445.15","89,531,445.15","Health Care","2307787","US5590792074","NASDAQ"
"LZB","LA-Z-BOY INC","Equity","0.21","32.69","2,738,491.00","89,521,270.79","89,521,270.79","Consumer Discretionary","2508405","US5053361078","New York Stock Exchange Inc."
"SFBS","SERVISFIRST BANCSHARES INC","Equity","0.21","33.29","2,686,788.00","89,443,172.52","89,443,172.52","Financials","BMH0MP5","US81768T1088","NASDAQ"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","Equity","0.20","22.93","3,859,682.00","88,502,508.26","88,502,508.26","Information Technology","2498001","US5012421013","NASDAQ"
"VRTU","VIRTUSA CORP","Equity","0.20","54.72","1,615,158.00","88,381,445.76","88,381,445.76","Information Technology","B1YWRN0","US92827P1021","NASDAQ"
"CTB","COOPER TIRE AND RUBBER","Equity","0.20","30.09","2,922,322.00","87,932,668.98","87,932,668.98","Consumer Discretionary","2222608","US2168311072","New York Stock Exchange Inc."
"UVV","UNIVERSAL CORP","Equity","0.20","59.74","1,465,745.00","87,563,606.30","87,563,606.30","Consumer Staples","2923804","US9134561094","New York Stock Exchange Inc."
"AVAV","AEROVIRONMENT INC","Equity","0.20","70.43","1,242,312.00","87,496,034.16","87,496,034.16","Industrials","B1P5YY8","US0080731088","NASDAQ"
"OSIS","OSI SYSTEMS INC","Equity","0.20","88.02","986,660.00","86,845,813.20","86,845,813.20","Information Technology","2111579","US6710441055","NASDAQ"
"ELY","CALLAWAY GOLF","Equity","0.20","16.65","5,214,810.00","86,826,586.50","86,826,586.50","Consumer Discretionary","2173933","US1311931042","New York Stock Exchange Inc."
"ATU","ACTUANT CORP CLASS A","Equity","0.20","24.16","3,567,095.00","86,181,015.20","86,181,015.20","Industrials","2716792","US00508X2036","New York Stock Exchange Inc."
"KALU","KAISER ALUMINIUM CORP","Equity","0.20","106.68","801,689.00","85,524,182.52","85,524,182.52","Materials","B15CJ33","US4830077040","NASDAQ"
"SNBR","SLEEP NUMBER CORP","Equity","0.20","47.82","1,785,795.00","85,396,716.90","85,396,716.90","Consumer Discretionary","BF4HN46","US83125X1037","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.20","35.76","2,378,545.00","85,056,769.20","85,056,769.20","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"FLOW","SPX FLOW INC","Equity","0.20","34.21","2,483,779.00","84,970,079.59","84,970,079.59","Industrials","BYMN2T7","US78469X1072","New York Stock Exchange Inc."
"ACA","ARCOSA INC","Equity","0.19","29.74","2,837,496.00","84,387,131.04","84,387,131.04","Industrials","BGPZ5W8","US0396531008","New York Stock Exchange Inc."
"SHAK","SHAKE SHACK INC CLASS A","Equity","0.19","55.23","1,527,666.00","84,372,993.18","84,372,993.18","Consumer Discretionary","BV0LCR0","US8190471016","New York Stock Exchange Inc."
"OPI","OFFICE PROPERTIES INCOME TRUST","Equity","0.19","29.65","2,840,480.00","84,220,232.00","84,220,232.00","Real Estate","BYVLR75","US67623C1099","NASDAQ"
"DSW","DSW INC CLASS A","Equity","0.19","21.08","3,993,722.00","84,187,659.76","84,187,659.76","Consumer Discretionary","B0BV2V6","US23334L1026","New York Stock Exchange Inc."
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.19","53.86","1,560,897.00","84,069,912.42","84,069,912.42","Information Technology","2825308","US5645631046","NASDAQ"
"WD","WALKER & DUNLOP INC","Equity","0.19","51.43","1,634,623.00","84,068,660.89","84,068,660.89","Financials","B4TZV44","US93148P1021","New York Stock Exchange Inc."
"PLCE","CHILDRENS PLACE INC","Equity","0.19","87.51","948,206.00","82,977,507.06","82,977,507.06","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"BIG","BIG LOTS INC","Equity","0.19","35.25","2,350,129.00","82,842,047.25","82,842,047.25","Consumer Discretionary","2218447","US0893021032","New York Stock Exchange Inc."
"PMT","PENNYMAC MORTGAGE INVESTMENT TRUST","Equity","0.19","20.79","3,963,315.00","82,397,318.85","82,397,318.85","Financials","B3V8JL7","US70931T1034","New York Stock Exchange Inc."
"CSII","CARDIOVASCULAR SYSTEMS INC","Equity","0.19","40.25","2,045,167.00","82,317,971.75","82,317,971.75","Health Care","B17HG57","US1416191062","NASDAQ"
"HUBG","HUB GROUP INC CLASS A","Equity","0.19","41.21","1,994,390.00","82,188,811.90","82,188,811.90","Industrials","2407632","US4433201062","NASDAQ"
"NPO","ENPRO INDUSTRIES INC","Equity","0.19","67.69","1,208,819.00","81,824,958.11","81,824,958.11","Industrials","2951292","US29355X1072","New York Stock Exchange Inc."
"SFLY","SHUTTERFLY INC","Equity","0.19","40.73","2,005,937.00","81,701,814.01","81,701,814.01","Consumer Discretionary","B188HK1","US82568P3047","NASDAQ"
"ABCB","AMERIS BANCORP","Equity","0.19","34.97","2,336,317.00","81,701,005.49","81,701,005.49","Financials","2038849","US03076K1088","NASDAQ"
"MDC","MDC HOLDINGS INC","Equity","0.19","28.35","2,879,518.00","81,634,335.30","81,634,335.30","Consumer Discretionary","2561204","US5526761086","New York Stock Exchange Inc."
"SBCF","SEACOAST BANKING OF FLORIDA","Equity","0.19","27.11","3,010,529.00","81,615,441.19","81,615,441.19","Financials","BH65L93","US8117078019","NASDAQ"
"USPH","US PHYSICAL THERAPY INC","Equity","0.19","109.17","745,089.00","81,341,366.13","81,341,366.13","Health Care","2911166","US90337L1089","New York Stock Exchange Inc."
"MNTA","MOMENTA PHARMACEUTICALS INC","Equity","0.19","14.10","5,766,853.00","81,312,627.30","81,312,627.30","Health Care","B018VB0","US60877T1007","NASDAQ"
