Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.28","150.98","2,983,607.00","450,464,984.86","450,464,984.86","Information Technology","2065308","US0530151036","NASDAQ"
"BIIB","BIOGEN INC","Equity","0.28","321.17","1,373,377.00","441,087,491.09","441,087,491.09","Health Care","2455965","US09062X1037","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","0.27","89.59","4,853,385.00","434,814,762.15","434,814,762.15","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.27","52.35","8,261,716.00","432,500,832.60","432,500,832.60","Information Technology","2714923","US7475251036","NASDAQ"
"CME","CME GROUP INC CLASS A","Equity","0.27","176.49","2,436,017.00","429,932,640.33","429,932,640.33","Financials","2965839","US12572Q1058","NASDAQ"
"ISRG","INTUITIVE SURGICAL INC","Equity","0.27","549.87","777,389.00","427,462,889.43","427,462,889.43","Health Care","2871301","US46120E6023","NASDAQ"
"CB","CHUBB LTD","Equity","0.27","134.71","3,139,408.00","422,909,651.68","422,909,651.68","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.27","50.13","8,434,857.00","422,839,381.41","422,839,381.41","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.27","88.65","4,767,260.00","422,617,599.00","422,617,599.00","Health Care","2182348","US1510201049","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.26","44.72","9,438,398.00","422,085,158.56","422,085,158.56","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.26","349.54","1,201,512.00","419,976,504.48","419,976,504.48","Communication","BZ6VT82","US16119P1084","NASDAQ"
"INTU","INTUIT INC","Equity","0.26","235.03","1,766,369.00","415,149,706.07","415,149,706.07","Information Technology","2459020","US4612021034","NASDAQ"
"SYK","STRYKER CORP","Equity","0.25","187.58","2,116,955.00","397,098,418.90","397,098,418.90","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.25","72.57","5,460,190.00","396,245,988.30","396,245,988.30","Industrials","2160753","US1264081035","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.25","66.70","5,914,075.00","394,468,802.50","394,468,802.50","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.25","124.91","3,145,758.00","392,936,631.78","392,936,631.78","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.24","74.34","5,206,445.00","387,047,121.30","387,047,121.30","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.24","70.47","5,479,874.00","386,166,720.78","386,166,720.78","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.24","182.15","2,107,949.00","383,962,910.35","383,962,910.35","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.24","40.12","9,431,738.00","378,401,328.56","378,401,328.56","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.24","95.35","3,947,263.00","376,371,527.05","376,371,527.05","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.23","45.72","8,179,694.00","373,975,609.68","373,975,609.68","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.23","41.96","8,910,441.00","373,882,104.36","373,882,104.36","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.23","50.72","7,212,623.00","365,824,238.56","365,824,238.56","Communication","BBM4S68","US90130A1016","NASDAQ"
"RTN","RAYTHEON","Equity","0.23","185.38","1,940,512.00","359,732,114.56","359,732,114.56","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.23","435.02","826,579.00","359,578,396.58","359,578,396.58","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
