Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SYMC","SYMANTEC CORP","Equity","0.05","22.34","462,207.00","10,325,704.38","10,325,704.38","Information Technology","2861078","US8715031089","NASDAQ"
"MGM","MGM RESORTS INTERNATIONAL","Equity","0.05","28.35","363,904.00","10,316,678.40","10,316,678.40","Consumer Discretionary","2547419","US5529531015","New York Stock Exchange Inc."
"LULU","LULULEMON ATHLETICA INC","Equity","0.05","148.11","69,517.00","10,296,162.87","10,296,162.87","Consumer Discretionary","B23FN39","US5500211090","NASDAQ"
"CMA","COMERICA INC","Equity","0.05","87.74","117,275.00","10,289,708.50","10,289,708.50","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"RMD","RESMED INC","Equity","0.05","100.10","102,415.00","10,251,741.50","10,251,741.50","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"BBY","BEST BUY INC","Equity","0.05","59.77","171,447.00","10,247,387.19","10,247,387.19","Consumer Discretionary","2094670","US0865161014","New York Stock Exchange Inc."
"LEN","LENNAR A CORP","Equity","0.05","49.22","208,117.00","10,243,518.74","10,243,518.74","Consumer Discretionary","2511920","US5260571048","New York Stock Exchange Inc."
"MRO","MARATHON OIL CORP","Equity","0.05","16.68","611,629.00","10,201,971.72","10,201,971.72","Energy","2910970","US5658491064","New York Stock Exchange Inc."
"CDW","CDW CORP","Equity","0.05","95.00","107,164.00","10,180,580.00","10,180,580.00","Information Technology","BBM5MD6","US12514G1085","NASDAQ"
"DHI","D R HORTON INC","Equity","0.05","40.27","252,753.00","10,178,363.31","10,178,363.31","Consumer Discretionary","2250687","US23331A1097","New York Stock Exchange Inc."
"GWW","WW GRAINGER INC","Equity","0.05","309.59","32,866.00","10,174,984.94","10,174,984.94","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"DVN","DEVON ENERGY CORP","Equity","0.05","29.85","340,310.00","10,158,253.50","10,158,253.50","Energy","2480677","US25179M1036","New York Stock Exchange Inc."
"CE","CELANESE CORP","Equity","0.05","102.50","98,946.00","10,141,965.00","10,141,965.00","Materials","B05MZT4","US1508701034","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.05","10.05","1,006,792.00","10,118,259.60","10,118,259.60","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","0.05","111.10","90,682.00","10,074,770.20","10,074,770.20","Consumer Discretionary","2289874","US2371941053","New York Stock Exchange Inc."
"COO","COOPER INC","Equity","0.05","286.33","35,124.00","10,057,054.92","10,057,054.92","Health Care","2222631","US2166484020","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.05","47.19","210,872.00","9,951,049.68","9,951,049.68","Information Technology","2954699","US9581021055","NASDAQ"
"MKL","MARKEL CORP","Equity","0.05","1,010.40","9,819.00","9,921,117.60","9,921,117.60","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.05","274.17","36,086.00","9,893,698.62","9,893,698.62","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"BFB","BROWN FORMAN CORP CLASS B","Equity","0.05","48.41","203,909.00","9,871,234.69","9,871,234.69","Consumer Staples","2146838","US1156372096","New York Stock Exchange Inc."
