Date,Open,High,Low,Close,Adj Close,Volume
2017-02-09,229.24,230.95,229.24,230.6,221.9857,65955200
2017-02-10,231.0,231.77,230.62,231.51,222.8618,66015900
2017-02-13,232.08,233.07,232.05,232.77,224.0747,55182100
2017-02-14,232.56,233.71,232.16,233.7,224.97,67794500
2017-02-15,233.45,235.14,233.39,234.92,226.1444,86785800
2017-02-16,234.95,235.16,233.85,234.72,225.9519,84722400
2017-02-17,233.95,235.09,233.93,235.09,226.308,77204100
2017-02-21,235.52,236.69,235.51,236.49,227.6557,88946100
2017-02-22,236.02,236.54,235.83,236.28,227.4536,62115200
2017-02-23,236.88,236.9,235.56,236.44,227.6076,74615900
2017-02-24,235.46,236.79,235.41,236.74,227.8964,82381600
2017-02-27,236.64,237.31,236.35,237.11,228.2526,56515400
2017-02-28,236.67,236.95,236.02,236.47,227.6365,96961900
2017-03-01,238.39,240.32,238.37,239.78,230.8228,149158200
2017-03-02,239.56,239.57,238.21,238.27,229.3693,70246000
2017-03-03,238.17,238.61,237.73,238.42,229.5136,81974300
2017-03-06,237.5,238.12,237.01,237.71,228.8302,55391500
2017-03-07,237.36,237.77,236.76,237.0,228.1467,65103700
2017-03-08,237.34,237.64,236.4,236.56,227.7231,78168800
2017-03-09,236.7,237.24,235.74,236.86,228.0119,90683900
2017-03-10,237.97,238.02,236.59,237.69,228.8109,81991700
2017-03-13,237.62,237.86,237.24,237.81,228.9265,57256800
2017-03-14,237.18,237.24,236.19,236.9,228.0504,59880800
2017-03-15,237.56,239.44,237.29,238.95,230.0239,96081800
2017-03-16,239.11,239.2,238.1,238.48,229.5714,78344000
2017-03-17,237.75,237.97,237.03,237.03,229.1682,89002100
2017-03-20,237.03,237.36,236.32,236.77,228.9169,52537000
2017-03-21,237.47,237.61,233.58,233.73,225.9777,131809300
2017-03-22,233.77,234.61,233.05,234.28,226.5094,97569200
2017-03-23,234.28,235.34,233.6,234.03,226.2677,100410300
2017-03-24,234.38,235.04,232.96,233.86,226.1034,112504900
2017-03-27,231.93,233.92,231.61,233.62,225.8713,87454500
2017-03-28,233.27,235.81,233.14,235.32,227.515,93483900
