,Date,Open,Close
720,2015-04-01,82.0,82.0
721,2015-04-02,82.0,82.0
722,2015-04-06,81.0,82.0
723,2015-04-07,83.0,82.0
724,2015-04-08,83.0,82.0
725,2015-04-09,82.0,82.0
726,2015-04-10,82.0,82.0
727,2015-04-13,82.0,83.0
728,2015-04-14,83.0,84.0
729,2015-04-15,84.0,83.0
730,2015-04-16,82.0,82.0
731,2015-04-17,81.0,81.0
732,2015-04-20,82.0,83.0
733,2015-04-21,84.0,84.0
734,2015-04-22,84.0,85.0
735,2015-04-23,84.0,82.0
736,2015-04-24,83.0,82.0
737,2015-04-27,82.0,82.0
738,2015-04-28,82.0,81.0
739,2015-04-29,80.0,80.0
740,2015-04-30,80.0,79.0
741,2015-05-01,79.0,79.0
742,2015-05-04,79.0,79.0
743,2015-05-05,79.0,78.0
744,2015-05-06,78.0,78.0
745,2015-05-07,78.0,78.0
746,2015-05-08,79.0,79.0
747,2015-05-11,78.0,78.0
748,2015-05-12,78.0,77.0
749,2015-05-13,78.0,78.0
750,2015-05-14,79.0,81.0
751,2015-05-15,81.0,80.0
752,2015-05-18,80.0,81.0
753,2015-05-19,81.0,81.0
754,2015-05-20,80.0,81.0
755,2015-05-21,80.0,80.0
756,2015-05-22,80.0,81.0
757,2015-05-26,80.0,79.0
758,2015-05-27,80.0,81.0
759,2015-05-28,80.0,80.0
760,2015-05-29,80.0,79.0
761,2015-06-01,79.0,80.0
762,2015-06-02,80.0,80.0
763,2015-06-03,81.0,82.0
764,2015-06-04,82.0,82.0
765,2015-06-05,82.0,82.0
766,2015-06-08,82.0,81.0
767,2015-06-09,81.0,81.0
768,2015-06-10,81.0,82.0
769,2015-06-11,82.0,82.0
770,2015-06-12,81.0,82.0
771,2015-06-15,81.0,81.0
772,2015-06-16,81.0,81.0
773,2015-06-17,82.0,82.0
774,2015-06-18,82.0,83.0
775,2015-06-19,83.0,83.0
776,2015-06-22,83.0,85.0
777,2015-06-23,85.0,88.0
778,2015-06-24,88.0,89.0
779,2015-06-25,89.0,88.0
780,2015-06-26,88.0,88.0
781,2015-06-29,87.0,86.0
782,2015-06-30,87.0,86.0
783,2015-07-01,87.0,87.0
784,2015-07-02,87.0,87.0
785,2015-07-06,86.0,88.0
786,2015-07-07,88.0,87.0
787,2015-07-08,86.0,86.0
788,2015-07-09,87.0,86.0
789,2015-07-10,87.0,88.0
790,2015-07-13,89.0,90.0
791,2015-07-14,90.0,90.0
792,2015-07-15,90.0,90.0
793,2015-07-16,90.0,91.0
794,2015-07-17,93.0,95.0
795,2015-07-20,96.0,98.0
796,2015-07-21,99.0,98.0
797,2015-07-22,97.0,97.0
798,2015-07-23,97.0,95.0
799,2015-07-24,97.0,97.0
800,2015-07-27,97.0,94.0
801,2015-07-28,95.0,95.0
802,2015-07-29,96.0,97.0
803,2015-07-30,95.0,95.0
804,2015-07-31,95.0,94.0
805,2015-08-03,94.0,94.0
806,2015-08-04,94.0,94.0
807,2015-08-05,95.0,96.0
808,2015-08-06,97.0,95.0
809,2015-08-07,95.0,94.0
810,2015-08-10,96.0,94.0
811,2015-08-11,94.0,94.0
812,2015-08-12,93.0,94.0
813,2015-08-13,94.0,93.0
814,2015-08-14,94.0,94.0
815,2015-08-17,94.0,94.0
816,2015-08-18,94.0,95.0
817,2015-08-19,95.0,95.0
818,2015-08-20,94.0,91.0
819,2015-08-21,88.0,86.0
820,2015-08-24,77.0,82.0
821,2015-08-25,87.0,83.0
822,2015-08-26,86.0,87.0
823,2015-08-27,89.0,90.0
824,2015-08-28,90.0,91.0
825,2015-08-31,91.0,89.0
826,2015-09-01,87.0,87.0
827,2015-09-02,89.0,90.0
828,2015-09-03,90.0,88.0
829,2015-09-04,87.0,88.0
830,2015-09-08,90.0,90.0
831,2015-09-09,91.0,90.0
832,2015-09-10,90.0,92.0
833,2015-09-11,92.0,92.0
834,2015-09-14,92.0,92.0
835,2015-09-15,92.0,93.0
836,2015-09-16,93.0,93.0
837,2015-09-17,93.0,94.0
838,2015-09-18,93.0,94.0
839,2015-09-21,95.0,96.0
840,2015-09-22,94.0,93.0
841,2015-09-23,93.0,94.0
842,2015-09-24,93.0,94.0
843,2015-09-25,96.0,93.0
844,2015-09-28,92.0,89.0
845,2015-09-29,89.0,87.0
846,2015-09-30,88.0,90.0
847,2015-10-01,90.0,91.0
848,2015-10-02,89.0,92.0
849,2015-10-05,93.0,94.0
850,2015-10-06,94.0,93.0
851,2015-10-07,93.0,92.0
852,2015-10-08,92.0,92.0
853,2015-10-09,93.0,93.0
854,2015-10-12,93.0,94.0
855,2015-10-13,94.0,94.0
856,2015-10-14,94.0,94.0
857,2015-10-15,95.0,96.0
858,2015-10-16,96.0,98.0
859,2015-10-19,97.0,98.0
860,2015-10-20,99.0,97.0
861,2015-10-21,97.0,97.0
862,2015-10-22,98.0,100.0
863,2015-10-23,102.0,102.0
864,2015-10-26,102.0,104.0
865,2015-10-27,103.0,104.0
866,2015-10-28,104.0,104.0
867,2015-10-29,104.0,105.0
868,2015-10-30,105.0,102.0
869,2015-11-02,102.0,103.0
870,2015-11-03,103.0,103.0
871,2015-11-04,103.0,104.0
872,2015-11-05,109.0,109.0
873,2015-11-06,108.0,107.0
874,2015-11-09,107.0,106.0
875,2015-11-10,106.0,108.0
876,2015-11-11,108.0,109.0
877,2015-11-12,108.0,108.0
878,2015-11-13,108.0,104.0
879,2015-11-16,103.0,104.0
880,2015-11-17,105.0,105.0
881,2015-11-18,106.0,108.0
882,2015-11-19,107.0,106.0
883,2015-11-20,107.0,107.0
884,2015-11-23,107.0,107.0
885,2015-11-24,106.0,106.0
886,2015-11-25,106.0,105.0
887,2015-11-27,106.0,105.0
888,2015-11-30,106.0,104.0
889,2015-12-01,105.0,107.0
890,2015-12-02,107.0,106.0
891,2015-12-03,106.0,104.0
892,2015-12-04,105.0,106.0
893,2015-12-07,106.0,106.0
894,2015-12-08,104.0,106.0
895,2015-12-09,106.0,105.0
896,2015-12-10,105.0,105.0
897,2015-12-11,104.0,102.0
898,2015-12-14,102.0,105.0
899,2015-12-15,105.0,105.0
900,2015-12-16,105.0,107.0
901,2015-12-17,107.0,106.0
902,2015-12-18,106.0,104.0
903,2015-12-21,105.0,105.0
904,2015-12-22,105.0,106.0
905,2015-12-23,106.0,105.0
906,2015-12-24,105.0,105.0
907,2015-12-28,105.0,106.0
908,2015-12-29,106.0,107.0
909,2015-12-30,107.0,106.0
910,2015-12-31,106.0,105.0
911,2016-01-04,102.0,102.0
912,2016-01-05,103.0,103.0
913,2016-01-06,101.0,103.0
914,2016-01-07,100.0,98.0
915,2016-01-08,100.0,97.0
916,2016-01-11,98.0,98.0
917,2016-01-12,99.0,99.0
918,2016-01-13,101.0,95.0
919,2016-01-14,96.0,98.0
920,2016-01-15,94.0,95.0
921,2016-01-19,97.0,95.0
922,2016-01-20,93.0,94.0
923,2016-01-21,95.0,94.0
924,2016-01-22,96.0,98.0
925,2016-01-25,99.0,97.0
926,2016-01-26,98.0,97.0
927,2016-01-27,98.0,94.0
928,2016-01-28,107.0,109.0
929,2016-01-29,109.0,112.0
930,2016-02-01,112.0,115.0
931,2016-02-02,115.0,115.0
932,2016-02-03,115.0,113.0
933,2016-02-04,112.0,110.0
934,2016-02-05,110.0,104.0
935,2016-02-08,100.0,100.0
936,2016-02-09,97.0,100.0
937,2016-02-10,102.0,101.0
938,2016-02-11,100.0,102.0
939,2016-02-12,104.0,102.0
940,2016-02-16,104.0,102.0
941,2016-02-17,102.0,105.0
942,2016-02-18,106.0,103.0
943,2016-02-19,103.0,105.0
944,2016-02-22,105.0,107.0
945,2016-02-23,107.0,105.0
946,2016-02-24,104.0,107.0
947,2016-02-25,107.0,108.0
948,2016-02-26,109.0,108.0
949,2016-02-29,108.0,107.0
950,2016-03-01,108.0,110.0
951,2016-03-02,110.0,110.0
952,2016-03-03,110.0,110.0
953,2016-03-04,110.0,108.0
954,2016-03-07,108.0,106.0
955,2016-03-08,105.0,106.0
956,2016-03-09,107.0,108.0
957,2016-03-10,108.0,107.0
958,2016-03-11,108.0,109.0
959,2016-03-14,109.0,110.0
960,2016-03-15,109.0,111.0
961,2016-03-16,110.0,112.0
962,2016-03-17,112.0,111.0
963,2016-03-18,112.0,111.0
964,2016-03-21,112.0,112.0
965,2016-03-22,111.0,112.0
966,2016-03-23,112.0,113.0
967,2016-03-24,112.0,113.0
968,2016-03-28,113.0,114.0
969,2016-03-29,114.0,116.0
970,2016-03-30,117.0,115.0
971,2016-03-31,115.0,114.0
972,2016-04-01,114.0,116.0
973,2016-04-04,114.0,113.0
974,2016-04-05,112.0,112.0
975,2016-04-06,112.0,114.0
976,2016-04-07,114.0,114.0
977,2016-04-08,114.0,111.0
978,2016-04-11,111.0,109.0
979,2016-04-12,109.0,111.0
980,2016-04-13,112.0,111.0
981,2016-04-14,111.0,111.0
982,2016-04-15,111.0,110.0
983,2016-04-18,110.0,110.0
984,2016-04-19,111.0,112.0
985,2016-04-20,112.0,112.0
986,2016-04-21,113.0,113.0
987,2016-04-22,111.0,111.0
988,2016-04-25,110.0,110.0
989,2016-04-26,110.0,109.0
990,2016-04-27,108.0,109.0
991,2016-04-28,120.0,117.0
992,2016-04-29,117.0,118.0
993,2016-05-02,118.0,119.0
994,2016-05-03,118.0,117.0
995,2016-05-04,117.0,118.0
996,2016-05-05,118.0,118.0
997,2016-05-06,117.0,119.0
998,2016-05-09,120.0,119.0
999,2016-05-10,120.0,120.0
1000,2016-05-11,120.0,120.0
1001,2016-05-12,120.0,120.0
1002,2016-05-13,120.0,120.0
1003,2016-05-16,119.0,119.0
1004,2016-05-17,119.0,117.0
1005,2016-05-18,117.0,118.0
1006,2016-05-19,117.0,117.0
1007,2016-05-20,117.0,117.0
1008,2016-05-23,117.0,116.0
1009,2016-05-24,116.0,118.0
1010,2016-05-25,118.0,118.0
1011,2016-05-26,118.0,119.0
1012,2016-05-27,120.0,119.0
