format=1 tracks=10 division=480
BA 10 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 10 CR 1 TR 1 CH 2 NT G# 77/96
BA 10 CR 1 TR 3 CH 5 NT G' 7/16
BA 10 CR 1 TR 4 CH 4 NT F'' 5/8
BA 10 CR 1 TR 7 CH 10 NT D-- 5/24
BA 10 CR 1 TR 9 CH 10 NT F#-- 5/16
BA 10 CR 1+1/2 TR 2 CH 3 NT F-- 3/16
BA 10 CR 1+1/2 TR 3 CH 5 NT G#' 7/16
BA 10 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 10 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 10 CR 1+3/4 TR 2 CH 3 NT F#-- 3/16
BA 10 CR 2 TR 1 CH 2 NT F 1+67/160
BA 10 CR 2 TR 2 CH 3 NT F-- 1+203/240
BA 10 CR 2 TR 3 CH 5 NT F' 7/16
BA 10 CR 2 TR 4 CH 4 NT F'' 5/8
BA 10 CR 2 TR 8 CH 10 NT C-- 3/16
BA 10 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 10 CR 2+1/2 TR 3 CH 5 NT C' 7/16
BA 10 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 10 CR 3 TR 3 CH 5 NT F' 7/16
BA 10 CR 3 TR 4 CH 4 NT F'' 5/8
BA 10 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 10 CR 3+1/96 TR 7 CH 10 NT D-- 5/24
BA 10 CR 3+1/2 TR 1 CH 2 NT F 9/40
BA 10 CR 3+1/2 TR 3 CH 5 NT G' 7/16
BA 10 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 10 CR 3+3/4 TR 1 CH 2 NT G 31/160
BA 10 CR 3+3/4 TR 6 CH 7 ST &B6 &0A &24
BA 11 CR 0 TR 3 CH 5 NT G#' 7/16
BA 11 CR 0 TR 4 CH 4 NT F'' 5/8
BA 11 CR 0 TR 8 CH 10 NT C-- 3/16
BA 11 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 11 CR 1/160 TR 2 CH 3 NT F-- 1+17/60
BA 11 CR 1/60 TR 1 CH 2 NT G# 1+89/96
BA 11 CR 1/2 TR 3 CH 5 NT G' 7/16
BA 11 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 11 CR 1 TR 3 CH 5 NT G#' 7/16
BA 11 CR 1 TR 4 CH 4 NT F'' 5/8
BA 11 CR 1+1/96 TR 7 CH 10 NT D-- 5/24
BA 11 CR 1+23/240 TR 9 CH 10 NT F#-- 5/16
BA 11 CR 1+1/2 TR 2 CH 3 NT F-- 1/4
BA 11 CR 1+1/2 TR 3 CH 5 NT Bb' 7/16
BA 11 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 11 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 11 CR 1+3/4 TR 3 CH 5 NT G#' 7/16
BA 11 CR 1+95/96 TR 2 CH 3 NT G#-- 1+49/60
BA 11 CR 2 TR 1 CH 2 NT G# 3/16
BA 11 CR 2 TR 3 CH 5 NT Bb' 7/16
BA 11 CR 2 TR 4 CH 4 NT F'' 5/8
BA 11 CR 2 TR 8 CH 10 NT C-- 3/16
BA 11 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 11 CR 2+9/40 TR 1 CH 2 NT Bb 3/16
BA 11 CR 2+1/2 TR 3 CH 5 NT G#' 7/16
BA 11 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 11 CR 2+61/120 TR 1 CH 2 NT C' 1+101/240
BA 11 CR 3 TR 3 CH 5 NT Bb' 7/16
BA 11 CR 3 TR 4 CH 4 NT F'' 5/8
BA 11 CR 3 TR 7 CH 10 NT D-- 5/24
BA 11 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 11 CR 3+1/2 TR 3 CH 5 NT Bb' 7/16
BA 11 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 12 CR 0 TR 1 CH 2 NT Bb 7/8
BA 12 CR 0 TR 3 CH 5 NT C'' 7/16
BA 12 CR 0 TR 4 CH 4 NT F'' 5/8
BA 12 CR 0 TR 8 CH 10 NT C-- 3/16
BA 12 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 12 CR 1/60 TR 2 CH 3 NT Eb-- 1+13/60
BA 12 CR 1/2 TR 3 CH 5 NT F'' 7/16
BA 12 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 12 CR 1 TR 1 CH 2 NT G 2+7/8
BA 12 CR 1 TR 3 CH 5 NT C'' 7/16
BA 12 CR 1 TR 4 CH 4 NT F'' 5/8
BA 12 CR 1 TR 9 CH 10 NT F#-- 5/16
BA 12 CR 1+1/96 TR 7 CH 10 NT D-- 5/24
BA 12 CR 1+1/2 TR 3 CH 5 NT Bb' 7/16
BA 12 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 12 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 12 CR 1+8/15 TR 2 CH 3 NT Eb-- 3/4
BA 12 CR 2 TR 3 CH 5 NT G#' 7/16
BA 12 CR 2 TR 4 CH 4 NT F'' 5/8
BA 12 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 12 CR 2+1/2 TR 3 CH 5 NT Bb' 7/16
BA 12 CR 2+1/2 TR 8 CH 10 NT C-- 3/16
BA 12 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 12 CR 2+259/480 TR 2 CH 3 NT Eb-- 39/80
BA 12 CR 3 TR 3 CH 5 NT C'' 7/16
BA 12 CR 3 TR 4 CH 4 NT F'' 5/8
BA 12 CR 3 TR 8 CH 10 NT C-- 1/8
BA 12 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 12 CR 3+1/160 TR 2 CH 3 NT F-- 47/96
BA 12 CR 3+1/96 TR 7 CH 10 NT D-- 5/24
BA 12 CR 3+1/2 TR 3 CH 5 NT Bb' 7/16
BA 12 CR 3+1/2 TR 8 CH 10 NT C-- 1/8
BA 12 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 12 CR 3+61/120 TR 2 CH 3 NT G-- 13/30
BA 12 CR 3+479/480 TR 2 CH 3 NT F-- 1+31/80
BA 13 CR 0 TR 1 CH 2 NT F 1+7/60
BA 13 CR 0 TR 3 CH 5 NT F' 7/16
BA 13 CR 0 TR 4 CH 4 NT F'' 5/8
BA 13 CR 0 TR 8 CH 10 NT C-- 3/16
BA 13 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 13 CR 1/2 TR 3 CH 5 NT C' 7/16
BA 13 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 13 CR 1 TR 3 CH 5 NT F' 7/16
BA 13 CR 1 TR 7 CH 10 NT D-- 5/24
BA 13 CR 1+23/240 TR 9 CH 10 NT F#-- 5/16
BA 13 CR 1+9/80 TR 4 CH 4 NT F'' 5/8
BA 13 CR 1+13/80 TR 1 CH 2 NT G# 193/240
BA 13 CR 1+1/2 TR 2 CH 3 NT F-- 13/80
BA 13 CR 1+1/2 TR 3 CH 5 NT G' 7/16
BA 13 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 13 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 13 CR 1+3/4 TR 2 CH 3 NT G-- 13/80
BA 13 CR 2 TR 1 CH 2 NT G 1/2
