,Start,High,Low,Last,Drop,Recover,TotalChange,Score
RLGY,22,24,14,18,0.583,1.286,0.818,2.784
ADNT,45,47,15,21,0.319,1.4,0.467,2.071
BIO,310,345,220,274,0.638,1.245,0.884,2.943
UHS,121,139,113,136,0.813,1.204,1.124,3.65
AAL,38,44,30,35,0.682,1.167,0.921,3.018
CVX,124,127,101,119,0.795,1.178,0.96,3.402
UHAL,371,384,318,377,0.828,1.186,1.016,3.573
ELAN,32,38,28,29,0.737,1.036,0.906,3.028
PCAR,64,73,54,70,0.74,1.296,1.094,3.485
TFSL,15,16,14,17,0.875,1.214,1.133,3.878
ARNC,21,23,16,18,0.696,1.125,0.857,2.951
M,38,42,24,24,0.571,1.0,0.632,2.284
HAL,41,42,25,31,0.595,1.24,0.756,2.704
TER,43,44,29,41,0.659,1.414,0.953,3.236
LPLA,67,68,52,77,0.765,1.481,1.149,3.8
BHF,43,46,29,43,0.63,1.483,1.0,3.277
WBC,123,127,100,119,0.787,1.19,0.967,3.396
FDC,23,26,16,25,0.615,1.562,1.087,3.405
R,77,79,45,64,0.57,1.422,0.831,2.903
PCG,43,49,6,19,0.122,3.167,0.442,3.639
CHTR,297,333,274,350,0.823,1.277,1.178,3.81
WBA,66,86,65,70,0.756,1.077,1.061,3.281
AMAT,47,50,29,39,0.58,1.345,0.83,2.848
PFPT,112,120,79,120,0.658,1.519,1.071,3.456
DISCK,24,31,23,28,0.742,1.217,1.167,3.485
FAST,55,61,48,63,0.787,1.312,1.145,3.696
JEF,24,25,16,20,0.64,1.25,0.833,2.902
CR,88,100,67,86,0.67,1.284,0.977,3.159
ULTA,234,315,229,311,0.727,1.358,1.329,3.744
FCX,15,16,10,13,0.625,1.3,0.867,2.948
BRKR,32,36,26,38,0.722,1.462,1.188,3.693
HPQ,23,27,19,24,0.704,1.263,1.043,3.297
RHI,76,80,53,68,0.662,1.283,0.895,3.054
CDEV,18,23,10,13,0.435,1.3,0.722,2.4
TECH,166,204,133,195,0.652,1.466,1.175,3.491
COTY,13,14,6,11,0.429,1.833,0.846,3.047
