,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
ADM,0.9067713444553483,22,3056,9,1019,924,2016-01-20
FTV,0.903010033444816,10,664,11,897,810,2018-10-23
MNST,1.0211267605633803,10,3056,8,568,580,2018-12-26
DLTR,1.4872231686541737,9,3056,8,587,873,2018-12-26
PH,1.2462934277495021,32,3056,19,4519,5632,2018-12-26
PXD,1.2114243323442135,23,3056,10,2696,3266,2018-12-26
CCL,1.0816666666666668,22,3056,9,1200,1298,2018-12-26
TROW,1.1168091168091168,4,3056,9,351,392,2018-12-26
AZO,1.5044539755856152,15,3056,12,9093,13680,2017-02-02
VTR,0.9302325581395349,10,3056,10,688,640,2018-01-23
CMI,1.4396284829721362,12,3056,9,1292,1860,2018-12-14
PPL,0.8648648648648649,5,3056,8,185,160,2013-07-08
MSI,1.8629407850964737,20,3056,9,1503,2800,2018-12-26
IQV,1.5538720538720538,13,1458,11,1188,1846,2018-12-26
DTE,1.414448669201521,9,3056,8,789,1116,2018-05-23
ES,1.5909090909090908,5,3056,7,220,350,2011-12-13
WLTW,1.2181656277827249,8,3056,9,1123,1368,2018-12-26
TWTR,0.6451612903225806,5,1331,8,248,160,2015-11-18
APC,0.5704407951598963,15,3056,8,1157,660,2018-12-26
ROK,1.064570943075616,7,3056,9,1177,1253,2018-12-14
TDG,2.287958115183246,2,3056,7,382,874,2017-02-01
APTV,1.0789473684210527,9,1826,10,684,738,2018-12-26
MCHP,1.6240875912408759,15,3056,10,822,1335,2015-07-23
CXO,0.909437559580553,9,2909,13,1049,954,2018-12-26
BXP,1.268065268065268,4,3056,8,429,544,2011-10-04
RCL,2.2963503649635038,39,3056,15,2055,4719,2018-10-16
SWK,1.2438478747203578,8,3056,8,894,1112,2018-10-23
SBAC,4.945945945945946,1,3056,7,37,183,2008-09-18
O,1.8551236749116609,15,3056,8,566,1050,2016-11-14
VRSK,1.4265335235378032,24,2360,13,2103,3000,2018-12-26
NTRS,1.15527950310559,20,3056,12,1610,1860,2018-12-26
UAL,2.593240093240093,25,3056,8,858,2225,2018-10-15
CLX,1.4201183431952662,12,3056,8,1352,1920,2015-05-18
FLT,1.876543209876543,4,2060,7,486,912,2016-06-21
EIX,1.105072463768116,5,3056,8,276,305,2013-09-18
GPN,0.9968847352024922,5,3056,9,642,640,2018-10-11
FE,0.7093425605536332,5,3056,10,289,205,2009-03-16
HRS,1.6028968014484006,16,3056,9,1657,2656,2018-10-15
WY,0.38095238095238093,4,3056,8,273,104,2016-01-29
NUE,1.094170403587444,20,3056,10,1115,1220,2016-01-26
INFO,0.8412698412698413,1,1178,7,63,53,2018-09-28
IP,1.1873684210526316,36,3056,9,1425,1692,2018-12-26
VRSN,1.523404255319149,8,3056,9,940,1432,2018-12-26
FCX,0.6817640047675805,44,3056,13,839,572,2017-03-15
CERN,1.1153846153846154,2,3056,7,104,116,2018-03-26
NEM,0.6830357142857143,17,3056,9,896,612,2012-04-10
TSN,1.054585152838428,23,3056,8,1374,1449,2018-12-26
DXC,1.0151515151515151,7,3056,10,462,469,2018-12-26
ESS,1.27437641723356,6,3056,8,1323,1686,2017-09-28
AME,1.3530961791831357,26,3056,11,1518,2054,2018-12-26
KEY,0.46153846153846156,1,3056,7,39,18,2007-10-18
AMP,1.1524390243902438,7,3056,12,820,945,2018-12-26
ALGN,1.67989417989418,5,3056,8,756,1270,2018-10-11
AWK,1.2469135802469136,5,2728,9,405,505,2016-10-12
FAST,1.1666666666666667,17,3056,8,918,1071,2018-12-26
FITB,0.7296416938110749,32,3056,11,1228,896,2017-03-27
WAT,1.8937068303914044,21,3056,12,2606,4935,2018-12-26
CTAS,3.178470254957507,22,3056,9,1412,4488,2018-12-26
IDXX,2.3690176322418135,9,3056,10,794,1881,2018-10-12
HIG,1.0616666666666668,13,3056,9,600,637,2018-03-28
AEE,1.1493728620296466,14,3056,14,877,1008,2018-01-23
CFG,1.0846905537459284,9,1111,9,307,333,2018-10-03
ULTA,1.5983847283406756,7,2851,9,1362,2177,2018-12-26
KLAC,1.6262482168330956,10,3056,9,701,1140,2018-12-26
CBS,1.0249671484888305,15,3056,11,761,780,2018-12-26
RSG,2.123762376237624,11,3056,8,404,858,2011-11-28
FRC,1.1087420042643923,5,2064,10,469,520,2018-12-24
MTD,1.7599792638672886,5,3056,8,1929,3395,2018-12-26
OMC,1.062937062937063,22,3056,10,1573,1672,2018-12-26
LLL,1.9470636889991728,11,3056,9,1209,2354,2018-05-04
RF,0.6956521739130435,11,3056,7,253,176,2019-01-02
NTAP,1.6441281138790036,7,3056,9,281,462,2017-08-23
ETR,1.1310810810810812,18,3056,9,1480,1674,2017-07-26
MKC,1.140461215932914,4,3056,7,477,544,2018-12-26
CAH,0.8346645367412141,19,3056,11,1252,1045,2018-12-26
GPC,1.3991596638655461,18,3056,12,1428,1998,2018-12-26
ABMD,2.345514950166113,12,3056,9,1806,4236,2018-10-12
MYL,0.6782496782496783,17,3056,10,777,527,2018-12-26
CBRE,1.186046511627907,8,3056,7,344,408,2018-10-19
FANG,1.0246305418719213,4,1599,10,406,416,2018-12-19
HSY,0.990990990990991,11,3056,8,1221,1210,2017-07-17
TSS,1.987915407854985,7,3056,8,331,658,2016-01-14
CNP,1.151702786377709,12,3056,8,323,372,2008-01-16
CDNS,1.1176470588235294,2,3056,8,102,114,2018-12-26
SNPS,1.3940774487471526,6,3056,7,439,612,2018-12-26
MSCI,1.7078947368421054,11,2836,9,1140,1947,2018-12-26
KEYS,2.005434782608696,9,1093,9,368,738,2015-07-22
MXIM,1.1597633136094674,7,3056,8,338,392,2018-12-26
HBAN,0.84,3,3056,7,50,42,2009-02-25
EXPE,1.295184135977337,18,3056,8,1765,2286,2018-12-26
VMC,1.4266175697001577,24,3056,10,1901,2712,2018-03-02
LH,1.3635607321131447,11,3056,10,1202,1639,2018-12-26
HCP,0.7284595300261096,9,3056,8,383,279,2017-10-27
INCY,1.3513513513513513,20,3056,9,1258,1700,2017-09-27
CMG,1.4913657770800628,19,3056,12,7644,11400,2019-02-07
K,0.7928902627511591,9,3056,9,647,513,2018-12-26
AJG,1.428680981595092,23,3056,9,1304,1863,2018-12-26
ARE,1.7596330275229357,21,3056,10,1635,2877,2018-05-21
AAL,0.7323788546255506,19,3056,9,908,665,2018-10-15
ANSS,1.23046875,9,3056,9,1280,1575,2018-10-12
LEN,0.8496732026143791,13,3056,11,765,650,2018-04-27
SWKS,1.4884488448844884,11,3056,8,606,902,2018-09-13
SYMC,0.8846153846153846,1,3056,7,26,23,2007-03-14
HES,0.7963460505104782,26,3056,12,1861,1482,2018-12-26
ANET,2.5384615384615383,6,1187,9,650,1650,2018-10-16
RMD,2.088807785888078,34,3056,8,1644,3434,2018-10-16
MGM,1.0175849941383353,62,3056,11,1706,1736,2017-01-06
COO,3.813935681470138,17,3056,10,1306,4981,2018-10-12
CMA,1.424190800681431,19,3056,11,1174,1672,2017-08-14
GWW,1.6193771626297577,9,3056,8,1734,2808,2018-10-15
BBY,1.5730337078651686,7,3056,9,267,420,2018-12-26
DRI,3.016835016835017,8,3056,10,297,896,2007-12-27
DVN,0.48736462093862815,9,3056,9,554,270,2018-02-12
MRO,0.5333333333333333,8,3056,7,255,136,2017-01-20
DHI,0.8497409326424871,4,3056,7,193,164,2018-04-25
WCG,5.817330210772834,9,3056,9,427,2484,2015-01-16
CE,1.4444444444444444,17,3056,10,1224,1768,2018-12-20
BHGE,0.5182724252491694,42,3056,11,2107,1092,2018-11-28
WDC,0.8250950570342205,31,3056,10,1841,1519,2018-09-12
PFG,1.0023640661938533,8,3056,8,423,424,2016-01-26
CTXS,0.930379746835443,7,3056,10,790,735,2018-12-26
DOV,1.126530612244898,15,3056,12,1225,1380,2018-12-26
ABC,1.131578947368421,10,3056,13,760,860,2018-12-26
EFX,1.3214285714285714,4,3056,7,336,444,2018-03-02
XYL,1.1607142857142858,13,1851,11,840,975,2018-12-26
SIVB,1.1894505494505494,11,3056,9,2275,2706,2018-12-17
TXT,1.1518324607329844,4,3056,7,191,220,2018-12-26
