,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue
CB,0.9626865671641791,1,1501,7,134,129
SLB,0.9190371991247265,5,1501,9,457,420
CHTR,1.4801999231064975,11,1300,10,2601,3850
SYK,1.9764705882352942,3,1501,8,170,336
CSX,0.9487179487179487,1,1501,7,39,37
CL,0.8125,1,1501,7,80,65
WBA,1.0039370078740157,12,1501,9,1016,1020
EOG,1.4670846394984327,9,1501,8,638,936
SCHW,1.0612244897959184,4,1501,7,147,156
MS,1.5880052151238593,29,1501,12,767,1218
FOXA,0.7619047619047619,4,1501,7,147,112
BLK,1.5960170697012803,3,1501,7,703,1122
DE,1.158699808795411,12,1501,10,1046,1212
GM,0.970873786407767,15,1079,12,618,600
SO,0.8545454545454545,2,1501,7,110,94
OXY,0.8181069958847736,14,1501,10,1215,994
NOC,2.0329218106995883,2,1501,7,243,494
NSC,1.3126934984520124,4,1501,7,323,424
SPGI,1.2146118721461188,7,1501,8,657,798
CCI,0.9920318725099602,3,1501,7,251,249
EXC,0.7021276595744681,8,1501,7,376,264
VRTX,1.0674157303370786,5,1501,7,356,380
MMC,1.864864864864865,1,1501,7,37,69
PLD,1.0303030303030303,6,1501,9,297,306
MPC,0.9365994236311239,5,929,8,347,325
FDX,1.4641509433962263,8,1501,8,1060,1552
MET,0.9900990099009901,8,1501,9,404,400
ITW,1.9971181556195965,11,1501,8,694,1386
ILMN,1.5960099750623442,5,1501,8,401,640
AGN,1.2293739028671737,11,1501,9,1709,2101
ECL,0.9972067039106145,3,1501,7,358,357
ICE,0.9720670391061452,15,1501,9,895,870
EMR,0.8785131459655485,17,1501,9,1103,969
KMB,0.991304347826087,1,1501,7,115,114
CTSH,1.3349514563106797,5,1501,8,206,275
PSX,1.0497835497835497,5,728,9,462,485
AEP,0.8939393939393939,4,1501,8,264,236
APD,1.7294117647058824,1,1501,7,85,147
PRU,1.279503105590062,2,1501,7,161,206
WM,1.7692307692307692,3,1501,7,117,207
ADI,1.2241379310344827,1,1501,7,58,71
COF,0.9957081545064378,8,1501,9,699,696
AMAT,1.6,2,1501,7,40,64
AIG,1.1836195508586527,14,1501,10,757,896
TGT,1.0343283582089553,9,1501,8,670,693
USD,1.505952380952381,44,1501,8,672,1012
AFL,0.7986577181208053,14,1501,9,596,476
BAX,0.9971671388101983,8,1501,10,353,352
KMI,0.42439862542955326,13,1021,9,582,247
SHW,1.1241415742208136,8,1501,8,1893,2128
MAR,1.2806324110671936,4,1501,8,253,324
FIS,0.8928571428571429,3,1501,7,252,225
ADSK,1.717741935483871,6,1501,8,248,426
