,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
FXG,1.2731481481481481,55,2300,10,1944,2475,2018-12-26
FXH,1.013157894736842,4,2300,10,304,308,2018-12-26
FXI,0.8213333333333334,7,2300,7,375,308,2018-07-31
FXL,1.0031347962382444,5,2300,8,319,320,2018-12-26
FXN,0.5652173913043478,2,2300,7,46,26,2017-06-01
FXO,0.8611111111111112,1,2300,7,36,31,2018-12-26
FXP,0.246988870254612,27,2300,12,6559,1620,2019-01-22
FXR,0.9411764705882353,2,2300,8,85,80,2018-12-26
FXS,0.5988023952095808,2,2300,8,334,200,2011-03-07
FXU,1.1153846153846154,4,2300,8,104,116,2011-08-11
FXY,0.7049180327868853,2,2300,7,244,172,2013-01-08
FYC,1.1576354679802956,5,1973,7,203,235,2016-11-09
FYT,0.9151943462897526,7,1973,8,283,259,2018-12-26
FYX,0.9302325581395349,10,2300,10,688,640,2018-12-26
GAA,0.7111299915038233,31,1057,9,1177,837,2018-02-06
GAL,0.8638132295719845,6,1717,7,257,222,2016-01-05
GASL,0.003799346987236569,16,2168,11,33690,128,2018-12-26
GASX,1.1481481481481481,1,810,7,27,31,2018-10-10
GAZ,3.4089138900908695,202,2300,9,2311,7878,2019-01-14
GBF,0.9423948220064725,26,2300,14,3090,2912,2010-12-16
GCE,0.5072463768115942,5,2300,10,138,70,2011-02-01
GDX,0.6272727272727273,3,2300,8,110,69,2016-09-01
GDXJ,0.5186440677966102,9,2300,8,590,306,2018-11-14
GDXS,0.11650485436893204,2,1013,7,206,24,2016-02-02
GDXX,0.8043478260869565,6,987,9,276,222,2018-08-17
GENY,0.805111821086262,14,630,10,626,504,2018-11-07
GEX,0.9225225225225225,24,2300,10,1665,1536,2018-12-26
GHII,0.7222222222222222,1,989,7,36,26,2016-09-21
GHYG,0.7876160990712074,53,1730,15,3230,2544,2014-05-29
GIGB,0.8558951965065502,72,410,9,4122,3528,2019-01-31
GII,0.9404388714733543,6,2300,7,319,300,2015-10-05
GLD,1.017094017094017,17,2300,10,2106,2142,2018-06-29
GLDW,0.9330484330484331,15,518,5,2106,1965,2019-02-22
GLL,0.7505518763796909,5,2300,7,453,340,2018-01-17
GLTR,0.8472400513478819,10,2097,11,779,660,2015-03-18
GMF,1.1428571428571428,12,2300,9,1008,1152,2016-01-14
GMOM,0.7142857142857143,8,1082,7,280,200,2015-03-18
GNMA,0.8175259281527131,111,1763,9,6653,5439,2013-06-05
GNR,0.8141592920353983,2,2125,7,113,92,2011-10-04
GOEX,0.33487756452680345,22,2088,12,1511,506,2014-05-29
GOVT,0.7142857142857143,7,1760,7,245,175,2015-10-14
GREK,0.31088082901554404,30,1812,10,772,240,2013-04-09
GRI,1.0,2,2300,7,92,92,2011-02-01
GRID,0.9707241910631741,14,2300,7,649,630,2014-04-28
GRU,0.1791044776119403,4,2300,7,67,12,2014-03-31
GSC,0.6802721088435374,25,2300,8,882,600,2018-08-13
GSEW,0.9473684210526315,2,361,8,95,90,2018-12-26
GSG,0.5217391304347826,9,2300,9,276,144,2017-03-15
GSIE,0.8125922282341368,59,826,12,2033,1652,2016-12-09
GSLC,0.9289099526066351,7,862,11,422,392,2018-12-26
GSP,0.5645161290322581,63,2300,10,1674,945,2017-07-28
GSSC,0.8970099667774086,6,412,9,301,270,2018-12-26
GULF,0.6986899563318777,8,2300,8,229,160,2014-01-13
GUNR,0.7568807339449541,5,1866,7,218,165,2011-12-09
GUSH,0.09060955518945635,15,941,10,1821,165,2018-12-26
GVAL,0.7419354838709677,1,1247,7,31,23,2014-10-30
GVIP,0.8995983935742972,4,572,7,249,224,2018-03-29
GXC,1.1136363636363635,1,2300,7,88,98,2015-07-09
GYLD,0.5201288244766505,38,1709,11,1242,646,2016-01-22
HAP,0.8780487804878049,4,2300,8,164,144,2011-10-04
HDGE,0.21140939597315436,18,2031,7,596,126,2011-08-01
HDV,1.3142857142857143,15,1987,10,1050,1380,2018-12-26
HECO,1.091254752851711,35,1679,8,1315,1435,2013-02-19
HEDJ,0.8599167822468793,20,2291,7,1442,1240,2017-09-14
HEEM,0.6832797427652733,17,1110,10,622,425,2018-01-05
HEWJ,0.8256658595641646,22,1271,9,826,682,2015-02-13
HEZU,0.725,14,1132,7,560,406,2018-04-26
HFXI,0.7175226586102719,95,876,11,2648,1900,2017-01-18
HFXJ,0.6676238334529792,93,904,7,2786,1860,2017-09-12
HIPS,0.6168776371308017,43,1037,7,1185,731,2017-11-08
HNDL,0.6877714667557634,179,271,0,5986,4117,2019-02-22
HOML,0.9090909090909091,5,997,8,198,180,2015-07-07
HSPX,0.8082010582010583,13,1427,9,756,611,2018-12-26
HUSE,0.8015267175572519,3,1648,9,131,105,2013-11-08
HUSV,0.7706422018348624,70,627,16,2180,1680,2017-05-22
HYD,0.8443579766536965,7,2300,9,514,434,2016-11-25
HYEM,0.71875,20,1705,7,640,460,2018-09-19
HYGH,0.8322857580867699,61,1193,17,6523,5429,2015-07-09
HYHG,0.7778015856010285,110,1448,13,9334,7260,2015-08-24
HYMB,0.8648648648648649,24,1977,9,1554,1344,2016-07-27
HYND,0.6487935656836461,121,1303,10,3730,2420,2018-11-08
HYUP,0.010582855451877234,301,1989,12,1365227,14448,2016-09-19
HYXU,0.8091149273447821,25,1733,9,1514,1225,2013-11-15
IAI,1.1753554502369667,4,2300,7,211,248,2017-09-12
IAK,0.9548022598870056,13,2300,11,885,845,2018-01-05
IAT,1.2549019607843137,36,2300,8,1377,1728,2018-12-26
IBB,1.1155778894472361,10,2300,8,995,1110,2018-12-26
IBCD,0.6994535519125683,16,1472,3,549,384,2019-02-22
IBD,0.7293354943273906,36,412,12,1234,900,2019-01-03
IBND,0.7738352360382598,76,2205,15,3241,2508,2011-12-29
IBUY,1.1391847227322807,66,716,15,2723,3102,2018-10-12
ICAN,0.7262969588550984,14,465,8,559,406,2018-10-02
ICF,1.1868131868131868,1,2300,7,91,108,2013-06-06
ICLN,0.4997807978956598,114,2300,9,2281,1140,2017-06-16
ICOL,0.3700084961767205,67,1429,11,2354,871,2019-01-29
ICVT,1.0022296544035674,31,937,8,1794,1798,2018-04-04
IDEV,0.7883211678832117,2,481,8,137,108,2018-02-06
IDHD,0.7706422018348624,24,554,10,872,672,2018-12-27
IDHQ,0.9663865546218487,5,2300,7,119,115,2010-05-25
IDIV,0.5201238390092879,28,257,9,646,336,2018-11-15
IDLV,0.7804878048780488,1,1787,7,41,32,2014-10-08
IDU,1.5685096153846154,27,2300,13,2496,3915,2016-10-10
IDV,0.8051948051948052,2,2300,7,77,62,2010-05-10
IDX,0.7015663643858203,74,2300,11,2426,1702,2015-10-08
IEHS,0.7498321020819342,77,231,15,2978,2233,2018-11-16
IEMG,1.1050767414403777,18,1591,10,847,936,2016-02-03
IEO,0.9640522875816994,10,2300,12,612,590,2018-12-26
IETC,0.7074829931972789,4,231,7,147,104,2018-06-19
IEUS,0.9363295880149812,30,2300,15,1602,1500,2016-01-14
IEZ,0.6568778979907264,17,2300,10,647,425,2019-01-02
IFEU,0.7731343283582089,28,2300,11,1340,1036,2014-08-08
IFLY,0.7954545454545454,1,745,7,44,35,2018-05-02
IFV,0.6665303618891842,163,1826,15,4891,3260,2018-08-20
IGE,0.6433962264150943,22,2300,10,1060,682,2016-01-14
IGF,0.9728363866077069,35,2300,8,1583,1540,2011-01-27
IGHG,0.8686362437351622,89,1327,11,7582,6586,2017-05-02
IGIH,0.6634615384615384,21,1001,9,728,483,2018-02-13
IGM,1.3533834586466165,10,2300,10,1463,1980,2018-10-16
IGN,1.3112313937753721,17,2300,9,739,969,2015-10-15
IGOV,0.8421606453875833,49,2300,11,2851,2401,2015-03-18
IGRO,0.9013657056145675,11,695,8,659,594,2018-04-04
IGV,1.1431742508324085,5,2300,9,901,1030,2018-12-26
IHE,1.4559386973180077,25,2300,12,2610,3800,2018-12-26
IHF,1.7613089509143407,10,2300,10,1039,1830,2018-12-26
IHI,1.1651993785603314,10,2300,10,1931,2250,2018-12-26
IJH,1.0714781401804303,8,2300,11,1441,1544,2018-12-26
IJJ,1.431219512195122,9,2300,11,1025,1467,2018-12-26
IJK,1.1619718309859155,9,2300,11,1704,1980,2018-12-26
IJR,1.1213355048859934,17,2300,10,1228,1377,2018-12-26
IJS,1.4893973214285714,17,2300,11,1792,2669,2018-12-26
IJT,1.6145833333333333,15,2300,10,1728,2790,2018-12-26
ILF,0.7387862796833773,8,2300,9,379,280,2013-08-08
ILTB,0.8670520231213873,60,2300,10,4152,3600,2016-11-28
