,Start,High,Low,Last,Drop,Recover,TotalChange,Score,HighDate,LowDate,DropTime
GWW,165.36,372.06,163.86,311.38,0.44,1.9,1.883,3.329,2018-08-21,2017-09-12,170
BBY,56.12,84.37,47.72,60.55,0.566,1.269,1.079,2.658,2018-08-22,2018-12-24,85
DRI,79.72,124.0,77.55,111.09,0.625,1.432,1.394,3.532,2018-09-20,2017-09-26,180
DVN,31.89,46.54,20.37,29.49,0.438,1.448,0.925,2.079,2018-07-10,2018-12-26,117
MRO,11.51,24.2,11.44,16.67,0.473,1.457,1.448,2.748,2018-10-03,2017-09-12,170
DHI,37.0,53.32,32.39,40.79,0.607,1.259,1.102,2.866,2018-01-04,2018-12-24,244
WCG,176.31,324.99,162.25,276.08,0.499,1.702,1.566,3.261,2018-10-01,2017-10-13,193
CE,98.79,119.29,82.91,104.12,0.695,1.256,1.054,3.211,2018-08-28,2018-12-26,82
BHGE,35.38,38.1,20.09,26.75,0.527,1.332,0.756,2.201,2017-09-25,2018-12-26,315
WDC,87.55,106.96,33.83,51.36,0.316,1.518,0.587,1.33,2018-03-16,2018-12-26,196
PFG,62.26,75.58,40.42,53.09,0.535,1.313,0.853,2.318,2018-01-29,2018-12-26,229
CTXS,76.39,116.82,75.01,105.47,0.642,1.406,1.381,3.579,2018-07-26,2017-09-15,173
DOV,71.5347,93.2,65.83,92.46,0.706,1.405,1.293,3.81,2019-02-25,2018-12-26,494
ABC,84.19,106.27,69.36,84.67,0.653,1.221,1.006,2.908,2018-01-29,2018-12-26,229
EFX,112.97,138.69,88.68,110.39,0.639,1.245,0.977,2.84,2018-09-18,2018-12-26,68
XYL,63.09,82.44,60.65,75.26,0.736,1.241,1.193,3.583,2018-09-19,2018-12-26,67
SIVB,169.52,333.74,167.99,247.78,0.503,1.475,1.462,2.955,2018-07-27,2017-09-15,173
TXT,51.23,72.87,43.27,55.03,0.594,1.272,1.074,2.787,2018-09-25,2018-12-26,63
LNC,67.68,86.68,48.07,63.35,0.555,1.318,0.936,2.502,2018-01-29,2018-12-26,229
L,46.8,53.59,42.06,47.98,0.785,1.141,1.025,3.401,2018-01-29,2018-12-26,229
IFF,143.37,157.4,122.11,127.29,0.776,1.042,0.888,2.995,2018-01-17,2018-05-31,93
IT,125.65,161.21,111.57,142.33,0.692,1.276,1.133,3.334,2018-09-25,2018-03-01,287
CINF,76.34,86.86,66.33,85.86,0.764,1.294,1.125,3.696,2019-02-25,2018-06-27,369
EXPD,57.28,78.16,56.45,75.41,0.722,1.336,1.317,3.831,2018-06-12,2017-11-03,208
WYNN,145.5,203.63,90.06,129.2,0.442,1.435,0.888,2.054,2018-01-25,2018-12-24,230
CTL,18.42,24.2,12.74,13.17,0.526,1.034,0.715,1.84,2018-08-21,2019-02-14,121
TFX,234.79,290.42,226.02,290.15,0.778,1.284,1.236,3.921,2019-02-25,2018-12-24,493
APA,40.02,50.03,24.56,33.46,0.491,1.362,0.836,2.158,2018-10-09,2018-12-26,53
CHRW,72.69,101.2,70.22,91.03,0.694,1.296,1.252,3.537,2018-09-11,2017-09-14,172
NCLH,56.92,61.18,39.36,55.94,0.643,1.421,0.983,3.092,2018-02-05,2018-12-26,224
FTNT,38.39,94.37,35.44,87.06,0.376,2.457,2.268,3.553,2018-10-01,2017-09-29,183
UDR,39.75,45.06,32.88,44.53,0.73,1.354,1.12,3.612,2019-02-22,2018-02-09,274
NRG,23.94,43.09,22.9,41.84,0.531,1.827,1.748,3.797,2019-02-15,2017-09-15,173
HOLX,39.12,47.82,35.1,46.99,0.734,1.339,1.201,3.729,2019-02-25,2018-05-03,331
ETFC,40.63,66.46,40.17,48.75,0.604,1.214,1.2,2.916,2018-06-07,2017-09-13,171
SJM,107.26,133.38,91.32,101.06,0.685,1.107,0.942,2.807,2018-03-14,2018-12-27,199
FMC,89.72,98.7,69.36,89.36,0.703,1.288,0.996,3.211,2018-01-12,2018-12-26,239
MAA,108.86,110.24,85.16,103.71,0.772,1.218,0.953,3.352,2017-10-13,2018-03-02,95
TSCO,60.93,98.03,54.76,94.8,0.559,1.731,1.556,3.675,2019-02-20,2017-10-26,202
DGX,108.36,116.49,78.95,87.19,0.678,1.104,0.805,2.589,2018-06-25,2018-12-26,127
VNO,74.91,80.3,59.48,68.25,0.741,1.147,0.911,3.05,2017-10-13,2018-12-26,301
MOS,20.09,37.37,20.0,32.77,0.535,1.639,1.631,3.499,2018-11-08,2017-09-13,171
EXR,79.54,101.96,76.55,93.48,0.751,1.221,1.175,3.599,2018-06-26,2017-10-26,202
VAR,107.26,134.99,98.34,133.19,0.728,1.354,1.242,3.78,2019-02-25,2017-09-29,183
BR,80.31,138.24,78.44,99.56,0.567,1.269,1.24,2.845,2018-09-14,2017-09-19,175
MLM,204.49,241.33,150.75,188.61,0.625,1.251,0.922,2.716,2018-01-26,2018-10-26,190
CAG,34.69,39.43,20.22,23.31,0.513,1.153,0.672,1.872,2018-06-21,2018-12-26,129
