,%Down,%Up,Change
SUI,0.083,0.333,1.018
ALB,0.333,0.333,1.1125
NI,0.083,0.083,1.0
JEC,0.083,0.5,1.1212
DISCK,0.25,0.167,1.0
JNPR,0.0,0.083,1.0385
ELS,0.25,0.417,1.0093
GRMN,0.083,0.333,1.2029
DATA,0.417,0.5,1.0312
UGI,0.083,0.25,0.9818
NLSN,0.25,0.167,1.04
HII,0.083,0.5,1.0284
LBRDK,0.25,0.5,1.0227
Y,0.417,0.417,0.9783
PKG,0.25,0.333,1.0316
RE,0.167,0.667,1.0136
XRAY,0.167,0.0,0.9535
HSIC,0.417,0.5,0.9516
AVY,0.167,0.167,1.0192
IPG,0.25,0.167,1.0455
AGNC,0.0,0.0,1.0
LDOS,0.167,0.417,1.0492
SNA,0.083,0.583,0.9758
FNF,0.083,0.25,1.0294
LII,0.25,0.667,1.0553
WHR,0.083,0.583,1.0821
SRPT,0.417,0.417,0.9858
RGA,0.5,0.417,1.007
QRTEA,0.0,0.0,1.0
HFC,0.333,0.333,1.0
MHK,0.25,0.5,1.1111
PAYC,0.5,0.5,1.0824
CPT,0.167,0.333,1.0
PVH,0.167,0.583,1.0446
QGEN,0.0,0.083,1.0541
TMK,0.167,0.167,1.0
LKQ,0.083,0.167,1.0
VICI,0.0,0.0,1.0
MKTX,0.083,0.75,1.0917
STLD,0.083,0.417,1.0833
FDS,0.333,0.583,1.0452
OGE,0.0,0.167,1.05
NVR,0.5,0.5,1.0132
ALLE,0.167,0.5,1.0114
BWA,0.25,0.25,1.025
CGNX,0.083,0.25,1.0851
MOH,0.25,0.333,1.0292
DELL,0.083,0.5,1.098
ST,0.083,0.5,1.1087
NNN,0.25,0.417,0.9811
MTN,0.25,0.583,1.04
QRVO,0.25,0.25,1.0
TDY,0.25,0.583,1.0398
HDS,0.0,0.25,1.0476
ADS,0.417,0.5,0.9613
ZEN,0.417,0.5,1.0
EPAM,0.083,0.667,1.0897
RHI,0.0,0.583,1.0794
DOX,0.083,0.333,1.0182
TYL,0.25,0.417,1.0049
WRB,0.083,0.25,1.038
VOYA,0.083,0.167,1.0208
ARNC,0.25,0.083,1.0
EWBC,0.083,0.417,1.0784
WU,0.167,0.083,0.9444
ARMK,0.167,0.083,0.9697
VER,0.0,0.0,1.0
GGG,0.0,0.333,1.093
LYV,0.083,0.25,1.0566
UNM,0.167,0.417,1.0571
NDSN,0.167,0.667,1.0379
WST,0.167,0.333,1.0
RPM,0.0,0.167,1.0175
DVA,0.167,0.333,1.0357
USFD,0.083,0.333,1.0294
BG,0.167,0.25,0.9623
IVZ,0.083,0.167,1.0556
CDK,0.167,0.5,1.0741
M,0.25,0.167,0.96
JLL,0.25,0.5,1.1517
NWL,0.167,0.083,0.8095
SLG,0.333,0.417,0.9892
ALK,0.167,0.25,0.9688
AOS,0.0,0.167,1.0816
BKI,0.083,0.25,1.04
